"V1","V2","V3","V4","V5","V6"
1,0.01,1e-04,1e-06,1e-08,1e-10
1,0.02,4e-04,8e-06,1.6e-07,3.2e-09
1,0.03,9e-04,2.7e-05,8.1e-07,2.43e-08
1,0.04,0.0016,6.4e-05,2.56e-06,1.024e-07
1,0.05,0.0025,0.000125,6.25e-06,3.125e-07
1,0.06,0.0036,0.000216,1.296e-05,7.776e-07
1,0.07,0.0049,0.000343,2.401e-05,1.6807e-06
1,0.08,0.0064,0.000512,4.096e-05,3.2768e-06
1,0.09,0.0081,0.000729,6.561e-05,5.9049e-06
1,0.1,0.01,0.001,1e-04,1e-05
1,0.11,0.0121,0.001331,0.00014641,1.61051e-05
1,0.12,0.0144,0.001728,0.00020736,2.48832e-05
1,0.13,0.0169,0.002197,0.00028561,3.71293e-05
1,0.14,0.0196,0.002744,0.00038416,5.37824e-05
1,0.15,0.0225,0.003375,0.00050625,7.59375000000001e-05
1,0.16,0.0256,0.004096,0.00065536,0.0001048576
1,0.17,0.0289,0.004913,0.00083521,0.0001419857
1,0.18,0.0324,0.005832,0.00104976,0.0001889568
1,0.19,0.0361,0.006859,0.00130321,0.0002476099
1,0.2,0.04,0.008,0.0016,0.00032
1,0.21,0.0441,0.009261,0.00194481,0.0004084101
1,0.22,0.0484,0.010648,0.00234256,0.0005153632
1,0.23,0.0529,0.012167,0.00279841,0.0006436343
1,0.24,0.0576,0.013824,0.00331776,0.0007962624
1,0.25,0.0625,0.015625,0.00390625,0.0009765625
1,0.26,0.0676,0.017576,0.00456976,0.0011881376
1,0.27,0.0729,0.019683,0.00531441,0.0014348907
1,0.28,0.0784,0.021952,0.00614656,0.0017210368
1,0.29,0.0841,0.024389,0.00707281,0.0020511149
1,0.3,0.09,0.027,0.0081,0.00243
1,0.31,0.0961,0.029791,0.00923521,0.0028629151
1,0.32,0.1024,0.032768,0.01048576,0.0033554432
1,0.33,0.1089,0.035937,0.01185921,0.0039135393
1,0.34,0.1156,0.039304,0.01336336,0.0045435424
1,0.35,0.1225,0.042875,0.01500625,0.0052521875
1,0.36,0.1296,0.046656,0.01679616,0.0060466176
1,0.37,0.1369,0.050653,0.01874161,0.0069343957
1,0.38,0.1444,0.054872,0.02085136,0.0079235168
1,0.39,0.1521,0.059319,0.02313441,0.0090224199
1,0.4,0.16,0.064,0.0256,0.01024
1,0.41,0.1681,0.068921,0.02825761,0.0115856201
1,0.42,0.1764,0.074088,0.03111696,0.0130691232
1,0.43,0.1849,0.079507,0.03418801,0.0147008443
1,0.44,0.1936,0.085184,0.03748096,0.0164916224
1,0.45,0.2025,0.091125,0.04100625,0.0184528125
1,0.46,0.2116,0.097336,0.04477456,0.0205962976
1,0.47,0.2209,0.103823,0.04879681,0.0229345007
1,0.48,0.2304,0.110592,0.05308416,0.0254803968
1,0.49,0.2401,0.117649,0.05764801,0.0282475249
1,0.5,0.25,0.125,0.0625,0.03125
